14:17:40.829 > 4.050,4.910,21.130,64.76563,100.00%
14:19:00.866 > 4.080,4.890,21.840,67.31798,100.00%
14:20:20.959 > 4.100,4.860,22.830,70.18935,100.00%
14:21:40.997 > 4.120,4.880,23.620,70.82745,100.00%
14:23:01.064 > 4.150,4.880,24.320,71.14648,100.00%
14:23:49.286 > voltage,current,battery_temp,ML_SoC,Coulomb_SoC
14:25:11.054 > 4.190,4.880,25.210,ML_SoC=72.10361,Cumulative_Ah=0.000136
14:26:24.041 > voltage,current,battery_temp,ML_SoC,Coulomb_SoC
14:27:45.862 > 4.200,4.360,26.320,73.06074,0.000121
14:29:05.892 > 4.200,3.700,26.520,73.06074,0.000224
14:30:25.952 > 4.200,4.400,26.700,73.06074,0.000346
14:31:45.974 > 4.200,3.010,26.940,76.88925,0.000430
14:33:06.036 > 4.200,2.600,26.690,78.48447,0.000502
14:34:26.047 > 4.200,2.310,26.640,79.12255,0.000566
14:35:46.067 > 4.200,2.050,26.220,79.76064,0.000623
14:37:06.147 > 4.200,1.910,25.990,80.07967,0.000676
14:38:26.176 > 4.200,1.800,25.940,81.03680,0.000726
